County,FIPS,2023 Rural-Urban Continuum Codes([rural urban note]),"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000",Average Annual Count,Recent Trend,Recent 5-Year Trend ([trend note]) in Incidence Rates
US (SEER+NPCR)(1),0,N/A,17.3 ,67373,falling,-0.7 
"Cameron Parish, Louisiana(7)",22023,Urban,49.8 ,3,*,*
"Quitman County, Mississippi(6)",28119,Rural,46.9 ,3,*,*
"Forest County, Wisconsin(6)",55041,Rural,46.5 ,6,stable,3.8 
"McLean County, Kentucky(7)",21149,Urban,46.2 ,5,*,*
"Greenlee County, Arizona(6)",4011,Rural,45.9 ,5,*,*
"Union County, Florida(6)",12125,Rural,45.1 ,8,stable,-1.1 
"Glacier County, Montana(6)",30035,Rural,42.4 ,5,*,*
"Wilbarger County, Texas(7)",48487,Rural,41,6,*,*
"Zavala County, Texas(7)",48507,Rural,41,4,*,*
"Wilkin County, Minnesota(6)",27167,Rural,40.7 ,3,*,*
"Pendleton County, Kentucky(7)",21191,Urban,38.9 ,6,stable,3.8 
"Rolette County, North Dakota(6)",38079,Rural,38.7 ,5,*,*
"Pleasants County, West Virginia(6)",54073,Rural,38.2 ,4,*,*
"Clay County, Illinois(7)",17025,Rural,37.8 ,6,stable,3.6 
"Greene County, Illinois(7)",17061,Rural,37.7 ,6,rising,5.7 
"Norman County, Minnesota(6)",27107,Rural,37.5 ,3,*,*
"Randolph County, Arkansas(6)",5121,Rural,37.2 ,8,rising,7.2 
"Winston County, Mississippi(6)",28159,Rural,36.9 ,8,stable,3.0 
"Appanoose County, Iowa(7)",19007,Rural,36.8 ,7,*,*
"Harrison County, Missouri(6)",29081,Rural,36.6 ,3,*,*
"Grant County, West Virginia(6)",54023,Rural,36.5 ,6,*,*
"Broadwater County, Montana(6)",30007,Urban,36.5 ,4,*,*
"Refugio County, Texas(7)",48391,Rural,36.5 ,4,*,*
"Logan County, West Virginia(6)",54045,Rural,36.1 ,15,rising,5.2 
"Franklin County, Texas(7)",48159,Rural,35.4 ,5,*,*
"Perry County, Illinois(7)",17145,Rural,34.9 ,9,rising,3.2 
"Dawson County, Texas(7)",48115,Rural,34.5 ,5,*,*
"Scurry County, Texas(7)",48415,Rural,34.4 ,7,*,*
"Craig County, Oklahoma(6)",40035,Rural,34.3 ,6,stable,2.7 
"Merrick County, Nebraska(6)",31121,Urban,34.2 ,3,*,*
"Atascosa County, Texas(7)",48013,Urban,34.1 ,19,rising,3.4 
"Camp County, Texas(7)",48063,Rural,34.1 ,5,stable,4.7 
"Lamar County, Alabama(6)",1075,Rural,33.9 ,6,*,*
"Chariton County, Missouri(6)",29041,Rural,33.6 ,4,*,*
"Okfuskee County, Oklahoma(6)",40107,Rural,33.4 ,5,*,*
"Tom Green County, Texas(7)",48451,Urban,33.3 ,44,rising,4.1 
"Crenshaw County, Alabama(6)",1041,Rural,33.3 ,6,stable,3.6 
"Jim Wells County, Texas(7)",48249,Rural,33.2 ,14,rising,4.5 
"McCulloch County, Texas(7)",48307,Rural,33.2 ,4,*,*
"Montgomery County, Iowa(7)",19137,Rural,33.1 ,4,*,*
"Montgomery County, Mississippi(6)",28097,Rural,33.1 ,4,*,*
"Owen County, Kentucky(7)",21187,Rural,33.1 ,5,*,*
"Ketchikan Gateway Borough, Alaska(6)",2130,Rural,33,6,*,*
"Jasper County, Texas(7)",48241,Rural,32.9 ,15,rising,4.3 
"Kleberg County, Texas(7)",48273,Rural,32.9 ,9,falling,-18.3 
"Nolan County, Texas(7)",48353,Rural,32.8 ,6,stable,4.1 
"Moultrie County, Illinois(7)",17139,Rural,32.8 ,6,stable,2.7 
"Frio County, Texas(7)",48163,Rural,32.8 ,6,*,*
"Union Parish, Louisiana(7)",22111,Urban,32.5 ,9,rising,4.0 
"Butler County, Kentucky(7)",21031,Urban,32.5 ,5,*,*
"Hancock County, Kentucky(7)",21091,Rural,32.5 ,4,*,*
"Allen Parish, Louisiana(7)",22003,Rural,32.3 ,9,rising,4.6 
"Adair County, Oklahoma(6)",40001,Rural,32.3 ,7,stable,3.3 
"Cibola County, New Mexico(7)",35006,Rural,32.3 ,10,rising,3.1 
"Craighead County, Arkansas(6)",5031,Urban,32.2 ,36,rising,6.3 
"Clay County, Arkansas(6)",5021,Rural,32.2 ,6,*,*
"Assumption Parish, Louisiana(7)",22007,Urban,32.1 ,9,rising,10.0 
"Scott County, Missouri(6)",29201,Rural,32,15,rising,6.1 
"Lincoln County, West Virginia(6)",54043,Rural,31.8 ,9,rising,4.5 
"Polk County, Texas(7)",48373,Rural,31.8 ,20,rising,2.9 
"Mississippi County, Arkansas(6)",5093,Rural,31.7 ,14,rising,5.9 
"Val Verde County, Texas(7)",48465,Rural,31.6 ,15,rising,3.4 
"Smith County, Tennessee(6)",47159,Urban,31.4 ,8,rising,6.0 
"Clinton County, Kentucky(7)",21053,Rural,31.4 ,4,*,*
"Renville County, Minnesota(6)",27129,Rural,31.3 ,6,*,*
"Terry County, Texas(7)",48445,Rural,31.2 ,4,*,*
"Holmes County, Mississippi(6)",28051,Urban,31.2 ,6,rising,6.5 
"Hardin County, Ohio(6)",39065,Rural,31.2 ,11,rising,7.0 
"Appling County, Georgia(7)",13001,Rural,31.1 ,7,*,*
"Washington County, Illinois(7)",17189,Rural,31.1 ,6,*,*
"Evangeline Parish, Louisiana(7)",22039,Rural,31.1 ,11,rising,4.3 
"Vermilion Parish, Louisiana(7)",22113,Urban,31,22,rising,4.0 
"Hardeman County, Tennessee(6)",47069,Rural,30.9 ,11,stable,0.6 
"Green County, Kentucky(7)",21087,Rural,30.9 ,5,stable,-0.5 
"Goliad County, Texas(7)",48175,Urban,30.8 ,4,*,*
"Garrard County, Kentucky(7)",21079,Rural,30.8 ,7,*,*
"Decatur County, Iowa(7)",19053,Rural,30.8 ,3,*,*
"Uvalde County, Texas(7)",48463,Rural,30.8 ,9,stable,3.8 
"Madison Parish, Louisiana(7)",22065,Rural,30.7 ,3,*,*
"Shelby County, Illinois(7)",17173,Rural,30.7 ,10,stable,2.3 
"Monona County, Iowa(7)",19133,Rural,30.7 ,4,*,*
"Petersburg City, Virginia(6)",51730,Urban,30.7 ,13,rising,5.4 
"Duval County, Texas(7)",48131,Rural,30.6 ,4,*,*
"Noxubee County, Mississippi(6)",28103,Rural,30.6 ,3,*,*
"Decatur County, Tennessee(6)",47039,Rural,30.5 ,5,rising,8.6 
"Live Oak County, Texas(7)",48297,Rural,30.4 ,4,*,*
"Larue County, Kentucky(7)",21123,Urban,30.4 ,5,stable,1.3 
"Macoupin County, Illinois(7)",17117,Urban,30.3 ,19,rising,3.5 
"West Baton Rouge Parish, Louisiana(7)",22121,Urban,30.2 ,9,stable,0.4 
"Crawford County, Wisconsin(6)",55023,Rural,30.1 ,7,rising,5.5 
"Greene County, Iowa(7)",19073,Rural,30.1 ,4,*,*
"Clarke County, Iowa(7)",19039,Rural,30.1 ,4,*,*
"Cherokee County, Oklahoma(6)",40021,Rural,30.1 ,15,stable,2.6 
"Iberville Parish, Louisiana(7)",22047,Urban,29.9 ,12,stable,2.6 
"Oglethorpe County, Georgia(7)",13221,Urban,29.8 ,7,*,*
"Monroe County, Kentucky(7)",21171,Rural,29.7 ,4,*,*
"Harrison County, Ohio(6)",39067,Rural,29.6 ,6,*,*
"McCurtain County, Oklahoma(6)",40089,Rural,29.6 ,11,stable,-0.2 
"Clinton County, Iowa(7)",19045,Rural,29.6 ,18,rising,3.8 
"Leon County, Texas(7)",48289,Rural,29.6 ,6,rising,6.9 
"Union County, Mississippi(6)",28145,Rural,29.5 ,10,stable,0.7 
"Bee County, Texas(7)",48025,Rural,29.5 ,9,stable,0.8 
"Montgomery County, Illinois(7)",17135,Rural,29.5 ,12,stable,3.1 
"Henry County, Kentucky(7)",21103,Urban,29.3 ,6,stable,3.1 
"Okmulgee County, Oklahoma(6)",40111,Urban,29.3 ,15,rising,3.2 
"Randolph County, Missouri(6)",29175,Rural,29.3 ,9,rising,4.6 
"Matagorda County, Texas(7)",48321,Rural,29.3 ,13,rising,6.2 
"Upshur County, Texas(7)",48459,Urban,29.3 ,15,stable,0.0 
"McKinley County, New Mexico(7)",35031,Rural,29.2 ,22,rising,2.3 
"Dunklin County, Missouri(6)",29069,Rural,29.2 ,10,rising,4.5 
"Mayes County, Oklahoma(6)",40097,Rural,29.2 ,14,stable,3.9 
"Hughes County, Oklahoma(6)",40063,Rural,29.1 ,5,stable,2.0 
"Stephens County, Texas(7)",48429,Rural,29.1 ,3,*,*
"Falls County, Texas(7)",48145,Urban,29.1 ,7,rising,3.9 
"Boone County, West Virginia(6)",54005,Urban,29.1 ,9,stable,3.8 
"Breckinridge County, Kentucky(7)",21027,Rural,29,7,*,*
"Seminole County, Oklahoma(6)",40133,Rural,29,8,stable,15.5 
"Prowers County, Colorado(6)",8099,Rural,29,4,*,*
"Milam County, Texas(7)",48331,Rural,28.9 ,9,rising,9.9 
"Benewah County, Idaho(7)",16009,Rural,28.9 ,4,*,*
"Hamilton County, Iowa(7)",19079,Rural,28.9 ,5,rising,4.0 
"Greensville County, Virginia(6)",51081,Rural,28.9 ,4,*,*
"Webster County, Mississippi(6)",28155,Rural,28.9 ,4,*,*
"Howard County, Arkansas(6)",5061,Rural,28.9 ,5,*,*
"Prentiss County, Mississippi(6)",28117,Rural,28.8 ,9,stable,2.9 
"San Patricio County, Texas(7)",48409,Urban,28.8 ,21,rising,3.3 
"Mason County, Kentucky(7)",21161,Rural,28.8 ,6,*,*
"Lincoln County, Oklahoma(6)",40081,Urban,28.7 ,13,rising,4.7 
"Jackson County, Ohio(6)",39079,Rural,28.7 ,11,stable,3.0 
"Keokuk County, Iowa(7)",19107,Rural,28.6 ,4,*,*
"Rhea County, Tennessee(6)",47143,Rural,28.6 ,12,rising,3.9 
"Callahan County, Texas(7)",48059,Urban,28.6 ,6,*,*
"Drew County, Arkansas(6)",5043,Rural,28.5 ,6,*,*
"Wharton County, Texas(7)",48481,Rural,28.5 ,15,rising,3.0 
"Lincoln County, Wisconsin(6)",55069,Rural,28.5 ,12,rising,4.2 
"Grant County, Kentucky(7)",21081,Urban,28.5 ,8,*,*
"Hopewell City, Virginia(6)",51670,Urban,28.4 ,8,stable,2.2 
"Edmonson County, Kentucky(7)",21061,Urban,28.4 ,5,stable,-1.6 
"Colorado County, Texas(7)",48089,Rural,28.4 ,7,stable,3.2 
"Cooper County, Missouri(6)",29053,Urban,28.3 ,6,rising,35.1 
"Macon County, Illinois(7)",17115,Urban,28.3 ,39,stable,1.2 
"Van Buren County, Arkansas(6)",5141,Rural,28.3 ,6,rising,6.9 
"Panola County, Mississippi(6)",28107,Rural,28.3 ,11,stable,2.5 
"Meade County, Kentucky(7)",21163,Urban,28.2 ,10,stable,2.7 
"Clay County, West Virginia(6)",54015,Urban,28.2 ,3,*,*
"Washington County, Kentucky(7)",21229,Rural,28.2 ,4,*,*
"St. Bernard Parish, Louisiana(7)",22087,Urban,28.2 ,12,stable,2.5 
"Brunswick County, Virginia(6)",51025,Rural,28.1 ,6,rising,7.0 
"Ritchie County, West Virginia(6)",54085,Rural,28,4,*,*
"Monroe County, Missouri(6)",29137,Rural,28,3,*,*
"Ouachita County, Arkansas(6)",5103,Rural,28,8,stable,3.0 
"Brown County, Ohio(6)",39015,Urban,28,16,stable,2.3 
"Bienville Parish, Louisiana(7)",22013,Rural,28,5,rising,3.5 
"Floyd County, Kentucky(7)",21071,Rural,28,13,stable,2.7 
"Trousdale County, Tennessee(6)",47169,Urban,27.9 ,3,*,*
"Maverick County, Texas(7)",48323,Urban,27.9 ,15,stable,1.8 
"Houston County, Texas(7)",48225,Rural,27.8 ,9,falling,-18.4 
"Hot Spring County, Arkansas(6)",5059,Rural,27.8 ,11,rising,4.7 
"Stoddard County, Missouri(6)",29207,Rural,27.8 ,10,stable,3.5 
"Union County, Arkansas(6)",5139,Rural,27.8 ,14,stable,3.3 
"LaFourche Parish, Louisiana(7)",22057,Urban,27.8 ,32,rising,1.9 
"Cleburne County, Arkansas(6)",5023,Rural,27.8 ,10,rising,5.5 
"Hart County, Kentucky(7)",21099,Rural,27.8 ,7,stable,0.8 
"Metcalfe County, Kentucky(7)",21169,Rural,27.8 ,4,*,*
"Lancaster County, Virginia(6)",51103,Rural,27.7 ,6,*,*
"Crawford County, Iowa(7)",19047,Rural,27.7 ,6,stable,1.5 
"DeWitt County, Texas(7)",48123,Rural,27.7 ,8,stable,2.2 
"Big Horn County, Montana(6)",30003,Rural,27.6 ,4,stable,0.5 
"Daviess County, Kentucky(7)",21059,Urban,27.6 ,34,rising,2.6 
"Clark County, Arkansas(6)",5019,Rural,27.6 ,6,*,*
"Simpson County, Kentucky(7)",21213,Rural,27.6 ,7,stable,2.9 
"Richmond County, Virginia(6)",51159,Rural,27.6 ,3,*,*
"Hickman County, Tennessee(6)",47081,Urban,27.5 ,8,*,*
"Stewart County, Tennessee(6)",47161,Urban,27.5 ,5,*,*
"Scott County, Tennessee(6)",47151,Rural,27.5 ,7,*,*
"Jefferson Davis Parish, Louisiana(7)",22053,Urban,27.4 ,11,rising,2.8 
"Burnet County, Texas(7)",48053,Rural,27.4 ,19,stable,1.3 
"Victoria County, Texas(7)",48469,Urban,27.4 ,29,stable,0.6 
"Warren County, Illinois(7)",17187,Rural,27.4 ,6,*,*
"Lonoke County, Arkansas(6)",5085,Urban,27.4 ,23,stable,2.8 
"Meigs County, Ohio(6)",39105,Rural,27.4 ,9,stable,2.1 
"Little River County, Arkansas(6)",5081,Urban,27.4 ,4,*,*
"Lee County, Iowa(7)",19111,Rural,27.4 ,13,rising,3.0 
"Lincoln County, Montana(6)",30053,Rural,27.4 ,10,falling,-21.5 
"Livingston County, Kentucky(7)",21139,Urban,27.4 ,4,stable,0.9 
"Jones County, North Carolina(6)",37103,Rural,27.3 ,4,*,*
"Sabine Parish, Louisiana(7)",22085,Rural,27.3 ,8,rising,3.0 
"Avoyelles Parish, Louisiana(7)",22009,Rural,27.3 ,13,rising,3.1 
"Cumberland County, Illinois(7)",17035,Rural,27.3 ,4,*,*
"Walsh County, North Dakota(6)",38099,Rural,27.3 ,4,*,*
"Clay County, Iowa(7)",19041,Rural,27.2 ,6,*,*
"Piscataquis County, Maine(6)",23021,Rural,27.2 ,8,rising,6.2 
"Lewis County, West Virginia(6)",54041,Rural,27.2 ,6,stable,0.7 
"Independence County, Arkansas(6)",5063,Rural,27.2 ,12,rising,5.4 
"Nottoway County, Virginia(6)",51135,Rural,27.2 ,5,*,*
"McIntosh County, Oklahoma(6)",40091,Rural,27.1 ,8,stable,1.9 
"Tipton County, Tennessee(6)",47167,Urban,27.1 ,20,stable,3.2 
"Braxton County, West Virginia(6)",54007,Rural,27.1 ,5,*,*
"Jackson County, West Virginia(6)",54035,Rural,27,11,stable,2.7 
"Elbert County, Georgia(7)",13105,Rural,27,7,rising,3.9 
"Howard County, Texas(7)",48227,Rural,27,11,stable,3.5 
"Dorchester County, Maryland(6)",24019,Rural,27,13,stable,2.7 
"Barren County, Kentucky(7)",21009,Rural,26.9 ,15,stable,1.9 
